state,state_name,dimension,score
NSW,New South Wales,Access,77.2
NSW,New South Wales,Affordability,71.1
NSW,New South Wales,Digital Ability,73.1
VIC,Victoria,Access,77.8
VIC,Victoria,Affordability,72.3
VIC,Victoria,Digital Ability,73.7
QLD,Queensland,Access,75.9
QLD,Queensland,Affordability,69.8
QLD,Queensland,Digital Ability,70.6
SA,South Australia,Access,74.8
SA,South Australia,Affordability,69.2
SA,South Australia,Digital Ability,70.2
WA,Western Australia,Access,76.6
WA,Western Australia,Affordability,70.8
WA,Western Australia,Digital Ability,72.2
TAS,Tasmania,Access,72.1
TAS,Tasmania,Affordability,66.4
TAS,Tasmania,Digital Ability,68.2
NT,Northern Territory,Access,65.8
NT,Northern Territory,Affordability,60.1
NT,Northern Territory,Digital Ability,61.0
ACT,Australian Capital Territory,Access,82.3
ACT,Australian Capital Territory,Affordability,77.1
ACT,Australian Capital Territory,Digital Ability,79.1
