year,age_group,pct_access
2017,18–24,98
2017,25–34,97
2017,35–44,95
2017,45–54,90
2017,55–64,80
2017,65–74,62
2017,75+,30
2018,18–24,98
2018,25–34,97
2018,35–44,96
2018,45–54,91
2018,55–64,82
2018,65–74,65
2018,75+,34
2019,18–24,99
2019,25–34,98
2019,35–44,97
2019,45–54,93
2019,55–64,85
2019,65–74,69
2019,75+,38
2020,18–24,99
2020,25–34,98
2020,35–44,97
2020,45–54,94
2020,55–64,87
2020,65–74,72
2020,75+,42
2021,18–24,99
2021,25–34,99
2021,35–44,98
2021,45–54,95
2021,55–64,89
2021,65–74,76
2021,75+,50
2022,18–24,99
2022,25–34,99
2022,35–44,98
2022,45–54,96
2022,55–64,90
2022,65–74,79
2022,75+,55
2023,18–24,100
2023,25–34,99
2023,35–44,99
2023,45–54,97
2023,55–64,92
2023,65–74,82
2023,75+,61
2024,18–24,100
2024,25–34,99
2024,35–44,99
2024,45–54,97
2024,55–64,93
2024,65–74,84
2024,75+,65
